Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa03015	mRNA surveillance pathway	Translation	51/1990	4.6433693736698e-09	3.72265231304004e-09	10189/2107/53981/8761/4116/55308/10482/5515/9939/51585/4686/11051/10914/55110/23435/1479/26528/81608/11052/55012/65109/26986/5499/51692/29107/2521/23708/23283/5411/5523/29894/22985/1478/29101/65110/10978/2935/79869/8106/23049/5527/26019/5501/1477/5519/55339/2733/5516/5528/22794/55844	51
hsa05010	Alzheimer disease	Neurodegenerative disease	136/1990	4.64693991724922e-09	3.72551486633812e-09	10381/801/10376/7277/5705/22943/84790/1965/292/5708/4713/5707/84617/25825/126328/5700/5481/54205/27089/4705/5702/7416/3028/10383/4712/5530/5718/25800/1327/8883/5605/9861/10105/7419/29985/2475/10975/5717/4701/7381/5709/4709/374291/1459/1350/1349/5693/324/5688/5701/291/5695/4716/5713/4707/4715/5715/4704/440567/824/5684/9377/7386/11047/4726/5719/55967/5710/23516/55630/5690/1147/4893/4728/29796/4695/4731/4719/4722/5714/4694/5601/5685/1452/1537/4697/4724/6263/7388/5295/7384/208/4723/60673/6390/805/91860/4725/5694/4717/3667/8325/5289/3831/7417/4714/4711/2597/57142/8517/81027/5689/3799/322/7385/1020/5706/5332/293/6391/1499/10213/1345/10382/203068/836/5692/207/5594/4718/4702/7976/5704/9167/3265/8772	136
hsa04120	Ubiquitin mediated proteolysis	Folding, sorting and degradation	63/1990	1.00909691761692e-08	8.09006708738163e-09	991/10477/51343/64750/64682/6233/6500/4281/7329/51434/7322/27339/8454/1161/1642/997/10055/27338/11065/7327/51588/11060/996/25906/672/7334/246184/8452/7311/7320/10273/90293/25898/23327/8451/7314/9817/54926/118424/8924/7326/29945/7323/10393/25847/7332/8453/8697/10277/92912/9354/3093/55294/8881/7317/4734/7337/7319/8450/23291/119504/51433/9320	63
hsa03020	RNA polymerase	Transcription	24/1990	2.05688194968836e-08	1.64903020446252e-08	10622/64425/5434/25885/55703/84172/171568/5441/5439/10623/5431/5433/27297/5432/51728/5436/10621/5430/246721/5435/55718/11128/9533/5438	24
hsa03410	Base excision repair	Replication and repair	27/1990	1.90386528416713e-07	1.52635466478515e-07	328/54107/2237/7374/5982/142/3146/5427/5111/56655/5983/54840/55247/55775/3978/4595/10038/5985/5425/6996/10714/4913/5984/4968/5426/11284/5424	27
hsa05022	Pathways of neurodegeneration - multiple diseases	Neurodegenerative disease	154/1990	2.38320794154329e-07	1.9106501856926e-07	10381/801/10376/7277/4218/5705/22943/84790/10452/1965/292/5708/4713/5707/84617/126328/5700/5481/54205/27089/4705/5702/7416/6233/3028/10383/4712/5530/5718/10280/1327/598/627/5605/9861/10131/10105/23435/7419/2475/10975/11258/5717/4701/83544/7381/5709/4709/374291/1459/1350/1349/1639/5693/7327/2521/324/5688/5701/7415/817/291/5695/4716/342371/11315/5713/4707/4715/5715/4704/440567/581/824/5684/9377/51164/7386/55255/11047/4726/5719/55967/5710/9927/7311/5690/4893/4728/29796/4695/4731/4719/4722/5714/4694/5601/7314/5685/1452/1537/55860/4697/4724/6263/7388/7384/118424/7326/10540/4723/60673/6390/805/91860/4725/5694/4717/7332/8325/5289/3831/84516/7417/4714/7345/4711/81027/5689/3799/7385/9217/7317/1020/5706/5332/27429/293/6391/1499/10213/1345/10382/203068/836/5692/5594/4718/4702/7976/5704/9167/3265/8772	154
hsa05171	Coronavirus disease - COVID-19	Infectious disease: viral	88/1990	2.38320794154329e-07	1.9106501856926e-07	25873/6209/51121/6125/6228/6231/6129/6164/6175/6191/6204/6128/6194/3725/6234/9045/3921/6233/1839/3654/6189/6152/6134/6193/6201/6187/6122/6166/6137/6208/6135/6139/6207/6146/200916/23521/4736/6224/6132/6124/6144/6202/6154/9349/6206/6157/6217/6143/6138/6188/6227/11224/6230/3570/6229/6133/6158/7311/6155/1147/6136/6173/6156/6165/2197/6161/6210/6218/5601/3572/6130/5295/6147/6141/6181/6169/6160/57506/4615/6232/8517/6176/6171/6205/4793/6142/5594/10747	88
hsa00190	Oxidative phosphorylation	Energy metabolism	58/1990	4.14094157869501e-07	3.31984912367837e-07	1353/4713/126328/9114/54205/27089/4705/4712/1327/23545/10975/27068/4701/7381/4709/374291/1350/1349/4716/4707/4715/4704/440567/51382/9377/7386/4726/55967/4728/29796/4695/4731/4719/4722/4694/1537/4697/4724/155066/7388/8992/528/7384/4723/6390/4725/4717/5464/4714/4711/7385/6391/1345/9550/4718/4702/526/9167	58
hsa03430	Mismatch repair	Replication and repair	17/1990	1.61127571055089e-06	1.29178162840983e-06	4437/5982/5111/5983/4436/9156/6118/3978/4292/6117/5985/2956/5425/10714/5984/6742/5424	17
hsa03440	Homologous recombination	Replication and repair	24/1990	3.321887613217e-06	2.66320243164888e-06	79184/7516/580/51720/10111/6118/675/7517/83990/6117/672/5932/11073/5425/641/8438/10714/6742/5888/5424/5889/5892/29086/7156	24
hsa03018	RNA degradation	Folding, sorting and degradation	37/1990	3.321887613217e-06	2.66320243164888e-06	118460/3313/3329/51010/8761/23404/10200/11157/27258/5393/26986/57472/115752/51691/170506/22803/51013/51690/11340/27257/4849/87178/23658/54512/25904/25804/5073/29883/1656/131870/23019/23644/84186/2023/167227/10766/5394	37
hsa04114	Oocyte meiosis	Cell growth and death	56/1990	3.33454800444167e-06	2.67335243930146e-06	891/991/5567/801/9134/5566/26271/9232/699/5515/7533/64682/6790/6500/5530/5347/51434/4085/3479/8243/7534/10971/8454/5499/995/817/996/9126/25906/9700/9133/246184/7529/5527/5501/805/91860/29945/10393/25847/5519/8697/5516/983/9088/8881/5528/9748/7532/27127/23291/119504/51433/5594/89869/6195	56
hsa04932	Non-alcoholic fatty liver disease	Endocrine and metabolic disease	60/1990	1.03504919601732e-05	8.29813002926986e-06	1965/4713/126328/51422/54205/3725/27089/4705/4712/1327/10975/4701/7381/4709/374291/1350/1349/4716/4707/4715/4704/440567/581/9377/7386/3570/4726/55967/4728/29796/4695/4731/4719/4722/4694/5571/5601/1537/4697/4724/7388/5295/7384/208/4723/6390/4725/4717/3667/4714/4711/7385/6391/1345/836/998/207/4718/4702/9167	60
hsa00062	Fatty acid elongation	Lipid metabolism	18/1990	1.43524386501994e-05	1.15065450622774e-05	79071/3030/153364/9524/60481/79993/1892/10449/51102/10965/3032/6785/3033/11332/201562/401494/64834/117145	18
hsa05132	Salmonella infection	Infectious disease: bacterial	85/1990	2.31316621619405e-05	1.85449678287283e-05	113146/10381/10376/7277/3320/8655/84790/29109/79659/84617/1778/79026/3839/54205/3725/6500/10383/9265/3654/3840/51143/5605/1434/388/11258/2316/8677/5063/1639/302/1783/3326/197259/81873/338382/5585/6188/6281/382/581/71/8737/10552/51164/65082/3836/1147/6416/5216/57180/25828/5601/9475/55860/3606/26999/51209/208/10540/4074/4615/5289/3831/84516/4609/55207/10640/140735/2597/8517/81027/3799/10097/10093/1499/10382/10096/203068/836/998/207/5594/3265/8772/58484	85
hsa04714	Thermogenesis	Environmental adaptation	80/1990	3.46609643398896e-05	2.77881660252481e-05	91942/5567/65260/5566/1353/4713/126328/51422/29078/6194/27089/4705/86/4712/1327/6599/2475/10975/4701/7381/4709/374291/84335/1350/1349/6199/285521/4716/4707/4715/23028/4704/51287/6597/440567/71/9377/7386/4726/55967/6198/4893/4728/29796/4695/4731/4719/4722/4694/5571/1537/4697/4724/7388/10818/7384/79133/10488/4723/6390/4725/4717/2181/4714/137682/4711/8193/57521/7385/51241/6391/1345/51103/4878/4718/4702/9167/3265/6195/64223	80
hsa05166	Human T-cell leukemia virus 1 infection	Infectious disease: viral	77/1990	3.46609643398896e-05	2.77881660252481e-05	7042/991/5567/9134/890/6929/8061/5902/595/5566/292/2113/5901/9232/2874/64682/3725/55697/1111/7416/4087/5530/2224/8498/598/51434/5605/4085/7419/701/9184/1869/5925/291/996/9020/25906/3127/9700/9133/1031/581/4775/246184/4488/1147/4893/6416/545/5601/1019/5295/4089/10488/208/1871/4215/29945/4801/10393/25847/821/1387/8697/7015/4609/7417/4773/8517/8881/293/119504/207/51433/5594/1029/3265	77
hsa01212	Fatty acid metabolism	Global and overview maps	27/1990	0.000112060682945792	8.98405720067242e-05	9415/6319/79071/3030/34/9524/60481/39/79966/2194/38/79993/36/1892/3992/30/10449/51102/3032/6785/27349/3033/201562/2181/401494/81616/64834	27
hsa05208	Chemical carcinogenesis - reactive oxygen species	Cancer: overview	76/1990	0.000112060682945792	8.98405720067242e-05	3082/292/4713/126328/3725/27089/4705/1836/7416/4712/1327/5605/10105/7419/10975/4701/7381/4709/374291/1350/1349/291/4716/9020/4707/4715/1728/4704/52/440567/9377/7386/4726/55967/1147/4893/4728/29796/6416/4695/4731/4719/4722/4694/5601/1537/9817/4697/4724/4259/7388/5295/7384/5770/208/27/4723/6390/4725/4717/7417/4714/4711/5781/8517/7385/293/2052/6391/1345/207/5594/4718/4702/9167/3265	76
hsa05415	Diabetic cardiomyopathy	Cardiovascular disease	70/1990	0.000113865081378754	9.12871827455127e-05	7042/292/4713/126328/142/27089/4705/7416/4712/4087/1327/10105/7419/2475/10975/4701/7381/4709/374291/1350/5499/1349/817/291/4716/4707/4715/4704/2539/440567/9377/7386/4726/55967/4728/29796/4695/4731/4719/4722/4694/5601/1537/4697/4724/7388/5295/7384/208/4723/5501/6390/4725/4717/3667/7417/4714/4711/2597/25874/7385/5332/293/1215/6391/1345/207/4718/4702/9167	70
hsa03460	Fanconi anemia pathway	Replication and repair	26/1990	0.000156215256864439	0.000125239893814207	80010/7398/2175/57697/6118/675/83990/4292/6117/672/9894/2189/641/5980/51426/2177/545/84126/55215/5429/5888/5889/353497/29089/7156/2176	26
hsa01040	Biosynthesis of unsaturated fatty acids	Lipid metabolism	16/1990	0.000197035112630346	0.000157965726772187	9415/6319/79071/9524/60481/79966/79993/3992/30/570/10965/6785/11332/201562/401494/64834	16
hsa03022	Basal transcription factors	Transcription	22/1990	0.000221453982864866	0.000177542666801086	51616/2957/6883/2962/2965/2958/902/6875/6879/6884/2963/2960/8148/83860/6877/2967/6881/6873/10629/2966/6882/54457	22
hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism	23/1990	0.000337505193887465	0.000270582499383463	219/3028/3030/64087/34/26275/39/38/36/1892/30/1738/10449/501/594/3032/3712/3033/316/587/5096/65985/223	23
hsa04218	Cellular senescence	Cell growth and death	55/1990	0.000381147864911489	0.000305571421685466	891/7042/801/9134/890/595/4605/292/2113/4616/993/1874/5933/5481/1111/7416/4087/5530/5605/2305/10111/7419/2475/1021/5499/28996/1869/5925/291/9133/824/4775/4893/545/1019/5295/208/1871/5501/805/91860/54822/91750/4609/7417/132660/4773/983/293/5928/23291/207/5594/1029/3265	55
hsa00900	Terpenoid backbone biosynthesis	Metabolism of terpenoids and polyketides	14/1990	0.000390379755339045	0.00031297275366839	10269/3156/23590/2224/4598/39/38/2342/23463/3422/10654/4597/57107/51449	14
hsa01200	Carbon metabolism	Global and overview maps	43/1990	0.000698621031613453	0.000560093972713356	4200/2653/2806/80201/5723/283871/5631/1431/26275/1743/3420/2271/39/38/4199/3419/5315/2805/1892/8802/128/10873/2539/6470/1738/50/4190/6390/2023/5634/5096/4191/6120/2597/2746/3421/22934/6391/55753/2747/7086/1373/84532	43
