TCGA_3L_AA1B_01A	TCGA_4N_A93T_01A	TCGA_4T_AA8H_01A	TCGA_5M_AAT4_01A
106479169	0	0	0	0
106479170	0	0	0	0
106479171	0	0	0	0
106479172	0	0	0	0
106479173	0	0	0	0
106479174	0	0	0	0
106479175	0	1	0	0
106479176	0	0	0	0
106479177	0	0	0	0
106479178	1	0	0	2
106479179	0	0	0	0
106479180	0	0	0	0
106479181	0	0	0	1
106479182	0	0	0	0
106479183	0	0	0	4
106479184	0	0	0	0
106479185	0	0	0	0
106479186	1	0	0	1
106479187	0	0	0	0
106479188	0	0	0	0
106479189	0	0	0	0
106479190	0	0	0	0
106479191	0	0	0	0
106479192	0	0	0	1
106479193	0	0	0	0
106479194	0	0	0	0
106479195	0	0	0	1
106479196	0	0	0	0
106479197	0	0	1	0
106479198	0	0	0	0
106479199	0	0	0	0
106479200	0	0	1	1
106479201	0	0	0	0
106479202	0	0	0	0
106479203	0	0	0	0
106479204	0	0	0	0
106479205	0	0	0	0
106479206	0	0	0	0
106479207	0	0	0	0
106479208	0	0	0	0
106479209	0	0	0	0
106479210	0	0	0	0
106479211	0	0	0	0
106479212	0	0	0	0
106479213	0	0	0	2
106479214	0	0	0	0
106479215	0	0	0	0
106479216	0	0	0	0
106479217	0	0	0	0
106479218	1	0	0	0
106479219	0	0	0	0
106479220	0	0	0	0
106479221	0	0	0	0
106479222	0	0	0	0
106479223	0	0	0	0
106479224	0	0	0	0
106479225	3	0	0	2
106479226	0	0	0	0
106479227	0	0	0	0
106479228	0	0	0	0
106479229	0	0	0	0
106479230	6	1	3	4
106479231	1	0	0	2
106479232	0	0	0	0
106479233	0	0	0	0
106479234	1	0	0	0
106479235	0	0	0	1
106479236	0	0	0	0
106479237	0	0	0	0
106479238	0	0	0	0
106479239	0	0	0	0
106479240	0	0	0	0
106479241	0	0	0	1
106479242	0	0	0	0
106479243	0	0	0	0
106479244	0	0	0	0
106479245	0	0	0	0
106479246	0	0	0	0
106479247	0	0	0	0
106479248	1	1	0	2
106479249	0	0	0	0
106479250	1	0	0	2
106479251	1	1	0	0
106479252	0	0	0	0
106479253	4	3	7	10
106479254	0	0	0	0
106479255	0	0	0	0
106479256	0	0	0	0
106479258	0	0	0	0
106479259	0	0	0	0
106479260	0	0	0	0
106479261	0	0	0	0
106479262	0	0	0	0
106479263	0	0	1	0
106479264	0	0	0	0
106479265	0	1	0	0
106479266	0	0	0	0
106479267	0	1	0	1
106479268	0	0	0	0
106479269	10	3	5	4
106479270	0	88	1	9
106479271	0	0	0	0
106479272	0	0	0	0
106479273	0	0	0	0
106479274	0	1	0	0
106479275	0	1	0	0
106479276	0	0	0	0
106479277	4	0	2	2
106479278	0	0	0	0
106479279	0	0	0	0
106479280	0	0	0	3
106479281	1	0	0	0
106479282	0	0	0	0
106479283	0	0	0	0
106479284	0	0	0	2
106479285	0	0	0	0
106479286	0	0	0	0
106479287	0	0	1	0
106479288	0	0	0	0
106479289	0	0	0	0
106479290	0	0	0	0
106479291	0	0	0	0
106479292	0	0	0	0
106479293	0	0	0	0
106479294	1	0	0	0
106479295	0	0	0	0
106479296	0	0	0	0
106479297	0	0	0	0
106479298	0	0	0	0
106479299	0	0	0	0
106479300	0	0	0	0
106479301	0	0	0	0
106479302	0	0	0	0
106479303	0	0	0	3
106479304	0	0	3	2
106479305	0	0	0	0
106479306	0	0	0	0
106479307	0	0	0	0
106479308	0	0	0	0
106479309	3	1	2	0
106479310	0	0	0	0
106479311	0	0	0	0
106479312	0	0	0	0
106479313	0	0	0	0
106479314	0	0	0	1
106479315	2	2	1	1
106479316	0	0	0	0
106479317	3	2	5	7
106479318	0	0	0	2
106479319	21	13	11	25
106479320	1	0	0	1
106479321	0	0	0	0
106479322	0	0	0	0
106479323	0	1	0	0
106479324	0	0	0	0
106479325	0	0	0	0
106479326	0	0	0	2
106479327	0	0	0	0
106479328	0	0	0	0
106479329	0	0	0	0
106479330	0	0	0	0
106479331	0	0	0	0
106479332	0	0	0	1
106479333	0	0	0	0
106479334	0	0	0	0
106479335	0	0	0	0
106479336	0	0	0	0
106479337	0	0	0	0
106479338	0	0	0	0
106479339	0	0	0	0
106479340	0	0	0	0
106479341	0	0	0	0
106479342	0	0	0	2
106479343	0	0	0	0
106479344	0	0	0	0
106479345	0	0	1	0
106479346	3	0	1	0
106479347	0	1	0	0
106479348	0	0	0	1
106479349	0	0	0	0
106479350	0	0	0	0
106479351	2	0	1	0
106479352	0	0	0	0
106479353	0	1	0	1
106479354	0	0	0	0
106479355	0	0	0	0
106479356	5	3	3	2
106479357	3	7	8	8
106479358	0	0	0	0
106479359	0	0	0	0
106479360	1	0	0	0
106479361	0	0	0	0
106479362	23	20	9	10
106479363	0	0	0	0
106479364	0	0	0	0
106479365	3	0	1	3
106479366	0	0	0	0
106479367	0	0	0	2
106479368	1	2	0	2
106479369	0	0	0	0
106479370	0	0	0	3
106479371	0	0	0	0
106479372	0	1	1	1
106479373	3	1	3	2
106479374	0	0	0	0
106479375	0	0	0	0
106479376	0	0	0	0
106479377	0	0	0	0
106479378	0	1	0	0
106479379	0	0	0	0
106479380	0	0	0	0
106479381	0	0	0	0
106479383	1	0	0	0
106479384	3	0	2	4
106479385	0	1	0	0
106479386	0	0	0	0
106479387	0	0	2	1
106479388	0	0	0	0
106479389	1	1	0	0
106479390	0	1	0	0
106479391	0	0	0	0
106479392	0	0	0	0
106479393	0	0	0	0
106479394	0	0	0	1
106479395	0	0	0	0
106479396	0	0	0	4
106479397	5	5	0	1
106479398	0	0	0	0
106479399	0	0	0	0
106479400	0	0	0	0
106479401	0	0	0	0
106479402	0	0	0	0
106479403	0	0	1	0
106479404	0	0	0	0
106479405	0	0	0	0
106479407	1	0	1	2
106479408	0	0	0	0
106479409	0	0	0	0
106479410	2	1	0	3
106479411	0	0	0	0
106479412	0	0	0	0
106479413	5	24	1	4
106479414	0	0	0	0
106479415	1	2	1	0
106479416	0	0	0	0
106479417	9	8	2	6
106479418	0	0	0	0
106479419	0	0	0	0
106479420	1	0	0	4
106479421	0	0	0	0
106479422	0	0	0	0
106479423	0	0	0	0
106479424	0	0	0	0
106479425	0	0	0	0
106479426	0	0	0	0
106479427	0	0	0	0
106479428	1	0	0	0
106479429	0	0	0	0
106479430	0	0	0	0
106479431	0	0	0	0
106479432	0	0	0	0
106479433	0	0	0	0
106479434	0	0	0	0
106479435	0	0	0	0
106479436	0	0	0	0
106479437	0	0	0	4
106479438	4	4	2	0
106479439	1	1	0	2
106479440	0	0	0	0
106479441	0	0	0	0
106479442	0	0	0	0
106479443	0	0	0	0
106479444	1	4	1	0
106479445	0	0	0	0
106479446	0	0	0	0
106479447	0	0	0	0
106479448	0	0	0	0
106479449	0	0	0	0
106479450	0	0	0	1
106479451	0	0	0	0
106479452	0	0	0	0
106479453	0	0	0	0
106479454	0	0	0	1
106479455	0	0	0	0
106479456	0	0	0	0
106479457	0	0	0	0
106479458	0	0	0	0
106479459	0	4	1	8
106479460	1	5	1	0
106479461	0	0	0	0
106479462	0	0	0	0
106479463	0	0	0	0
106479464	2	1	0	0
106479465	0	0	0	1
106479466	0	0	0	0
106479468	2	3	0	5
106479470	0	0	0	0
106479471	0	1	0	0
106479472	5	11	4	4
106479473	0	0	0	0
106479474	0	1	0	1
106479475	0	1	0	0
106479476	0	0	0	0
106479477	0	0	0	1
106479478	0	0	0	0
106479479	0	0	0	0
106479480	11	13	1	2
106479481	0	0	0	1
106479482	0	0	0	0
106479483	0	0	0	0
106479484	0	0	0	0
106479485	0	0	0	0
106479486	0	0	0	0
106479487	1	0	0	0
106479488	1	0	0	0
106479489	3	2	0	1
106479490	0	0	0	0
106479491	0	0	0	0
106479492	0	0	0	0
106479493	4	0	1	2
106479494	3	1	0	1
106479495	1	3	1	2
106479496	1	0	0	4
106479497	0	0	0	0
106479498	0	0	0	0
106479499	0	0	0	0
106479500	1	0	0	0
106479501	0	0	0	0
106479502	0	0	0	0
106479503	0	0	0	0
106479504	0	0	0	0
106479505	0	0	0	0
106479506	0	0	0	0
106479507	0	0	0	0
106479508	0	0	1	1
106479509	0	0	0	0
106479510	0	1	0	0
106479511	0	0	0	0
106479512	0	0	0	0
106479513	0	0	0	0
106479514	1	1	0	0
106479515	1	1	1	0
106479516	14	3	10	11
106479517	0	2	0	0
106479518	1	2	0	0
106479519	0	0	0	1
106479520	0	0	0	0
106479521	0	0	0	0
106479522	0	0	0	0
106479523	0	0	0	0
106479524	11	10	5	10
106479525	0	0	0	0
106479526	0	0	0	0
106479527	6	1	1	12
106479528	0	0	0	0
106479529	1	0	0	0
106479530	0	0	0	0
106479531	0	0	0	0
106479532	2	1	0	0
106479533	0	0	0	0
106479534	0	0	0	0
106479535	0	0	0	0
106479536	0	0	0	1
106479537	0	0	0	0
106479538	0	0	0	0
106479539	0	0	1	0
106479540	0	0	0	0
106479541	0	0	0	0
106479542	0	0	0	0
106479543	0	0	0	0
106479544	0	0	0	0
106479545	0	0	0	0
106479546	0	0	0	0
106479547	0	1	1	1
106479548	0	0	0	0
106479549	0	0	0	0
106479550	0	1	2	0
106479551	22	1	6	2
106479552	0	0	0	0
106479553	0	0	0	0
106479554	4	0	5	7
106479555	0	0	0	0
106479556	1	2	0	0
106479557	0	0	1	0
106479558	0	0	0	0
106479559	0	0	1	0
106479560	0	1	0	0
106479561	0	0	0	0
106479562	1	0	0	0
106479563	0	0	0	0
106479564	0	0	0	0
106479565	0	0	0	0
106479566	0	1	0	0
106479567	0	0	0	0
106479568	2	2	1	4
106479569	0	0	0	0
106479570	0	0	0	0
106479571	0	0	0	0
106479572	0	0	0	0
106479573	0	0	0	0
106479574	1	2	0	1
106479575	2	5	3	0
106479576	0	0	0	0
106479577	0	0	0	0
106479578	0	0	0	0
106479579	5	9	1	6
106479580	0	0	0	1
106479581	0	1	0	0
106479582	1	8	1	6
106479583	0	0	0	0
106479584	0	0	0	0
106479585	0	0	0	0
106479586	2	1	0	1
106479587	0	0	0	0
106479588	0	0	0	0
106479589	0	0	0	0
106479590	0	0	0	0
106479591	0	0	0	0
106479592	0	0	0	0
106479593	0	0	0	0
106479594	1	7	2	0
106479595	0	0	0	0
106479596	0	0	0	0
106479597	0	0	0	0
106479598	0	0	0	0
106479599	0	0	0	0
106479600	0	0	0	0
106479601	0	0	0	0
106479602	0	0	0	0
106479603	0	0	0	0
106479604	0	0	0	0
106479605	3	1	2	0
106479606	0	0	0	0
106479607	0	0	0	0
106479608	0	0	0	0
106479609	0	0	0	0
106479610	0	0	0	0
106479611	0	1	0	0
106479612	0	0	0	0
106479613	0	0	0	0
106479614	0	0	0	1
106479615	0	1	1	2
106479616	0	0	0	0
106479617	0	0	0	0
106479618	6	9	1	4
106479619	0	0	0	0
106479620	0	0	0	1
106479621	0	0	1	3
106479622	1	1	1	5
106479623	0	0	0	0
106479624	0	0	0	0
106479625	1	0	0	0
106479626	1	0	0	0
106479627	0	0	0	0
106479628	0	1	0	0
106479629	0	0	0	0
106479630	1	0	3	3
106479631	0	0	0	0
106479632	0	0	0	0
106479633	0	0	0	0
106479634	0	0	0	0
106479635	0	0	0	0
106479636	0	0	0	0
106479637	0	0	0	0
106479638	0	0	0	0
106479639	0	0	0	0
106479640	0	0	0	0
106479641	0	0	0	0
106479642	0	0	0	0
106479643	0	0	0	0
106479644	0	0	0	0
106479645	0	0	0	0
106479646	0	0	0	0
106479647	0	2	0	1
106479648	0	0	0	0
106479649	0	0	1	0
106479650	1	0	0	0
106479651	0	0	0	0
106479652	0	2	0	0
106479653	0	0	0	0
106479654	0	0	0	0
106479655	0	0	0	0
106479656	0	1	0	0
106479657	0	0	0	0
106479658	1	0	0	0
106479659	0	0	0	0
106479660	0	0	0	0
106479661	0	0	0	1
106479662	0	1	2	0
106479663	0	0	0	1
106479664	0	0	0	0
106479665	0	0	0	0
106479666	0	0	0	0
106479667	0	0	0	0
106479668	0	1	0	2
106479669	0	1	0	2
106479670	0	0	0	0
106479671	0	0	0	0
106479672	0	1	1	2
106479673	0	0	0	0
106479674	0	0	0	0
106479675	0	0	0	0
106479676	0	0	0	0
106479677	0	0	0	0
106479678	0	0	0	0
106479679	0	0	0	0
106479680	0	0	0	0
106479681	0	0	0	0
106479682	0	0	0	0
106479683	1	1	0	0
106479684	0	0	0	0
106479685	0	0	0	0
106479686	0	0	0	0
106479687	0	0	0	0
106479688	0	0	0	0
106479689	0	0	0	0
106479690	0	0	0	0
106479691	2	1	0	2
106479692	0	0	0	0
106479693	0	0	0	0
106479694	0	1	0	1
106479695	0	0	0	0
106479696	0	1	0	0
106479697	0	0	0	0
106479698	0	0	0	0
106479699	0	0	0	0
106479700	0	0	0	0
106479701	0	0	0	1
106479702	0	0	0	0
106479703	0	0	0	1
106479704	0	0	0	0
106479705	0	0	0	0
106479706	2	2	5	0
106479707	1	1	1	2
106479708	0	0	0	0
106479709	0	0	0	0
106479710	0	0	0	0
106479711	0	0	0	0
106479712	0	0	0	0
106479713	0	0	0	1
106479714	0	0	0	0
106479715	0	0	0	0
106479716	0	0	0	0
106479717	0	0	0	0
106479718	0	0	0	0
106479719	6	1	3	1
106479720	0	0	0	0
106479721	0	0	0	0
106479722	0	0	0	0
106479723	1	0	8	1
106479724	0	0	0	0
106479725	0	0	0	0
106479726	0	0	0	0
106479727	0	0	0	0
106479728	0	0	0	0
106479729	0	0	0	0
106479730	0	0	0	0
106479731	0	0	0	0
106479732	0	0	0	0
106479733	5	5	1	6
106479734	1	0	0	1
106479735	0	0	0	0
106479736	0	0	0	0
106479737	2	10	2	0
106479738	0	0	0	1
106479739	0	0	0	0
106479740	0	0	0	0
106479741	0	0	0	0
106479742	0	0	0	0
106479743	0	0	0	0
106479744	0	0	0	0
106479745	5	3	0	1
106479746	0	0	0	0
106479747	0	0	0	0
106479748	0	0	0	0
106479749	1	0	0	0
106479750	0	0	0	0
106479751	0	0	0	0
106479753	0	0	0	0
106479754	0	0	0	0
106479755	0	0	0	0
106479756	0	0	0	2
106479757	0	0	0	0
106479758	0	0	0	0
106479759	0	1	1	1
106479760	0	0	0	0
106479761	1	0	0	0
106479762	1	0	0	1
106479763	0	0	0	0
106479764	0	0	0	0
106479765	0	0	0	0
106479766	0	0	0	0
106479767	0	0	0	0
106479768	0	0	0	0
106479769	0	0	0	1
106479770	0	0	0	0
106479771	0	0	0	0
106479772	0	0	0	0
106479773	0	0	0	0
106479774	0	0	0	0
106479775	0	0	0	0
106479776	0	0	0	0
106479777	9	2	3	5
106479778	0	0	0	0
106479779	0	0	0	0
106479780	1	8	1	1
106479781	1	2	0	1
106479782	0	0	0	0
106479783	0	0	0	0
106479784	0	0	0	0
106479785	0	1	0	0
106479786	0	0	0	0
106479787	0	0	0	0
106479788	0	0	0	0
106479789	0	0	0	0
106479790	0	0	0	0
106479791	0	0	0	0
106479792	0	2	1	2
106479793	0	1	0	0
106479794	9	15	5	1
106479795	0	0	0	0
106479796	0	0	0	0
106479797	0	0	0	0
106479798	0	0	0	0
106479799	0	0	0	0
106479800	0	0	0	0
106479801	0	0	0	0
106479802	8	1	3	2
106479803	0	0	0	0
106479804	0	0	0	0
106479805	0	0	0	0
106479806	1	0	0	0
106479807	0	0	0	0
106479808	0	0	0	0
106479809	0	0	0	0
106479810	3	1	0	1
106479811	0	0	0	0
106479812	0	9	2	3
106479813	0	0	0	0
106479814	0	0	0	0
106479815	0	0	0	0
106479816	0	1	0	1
106479817	1	3	0	0
106479818	0	0	0	0
106479819	0	0	0	0
106479820	4	1	3	1
106479821	0	0	0	0
106479822	3	1	1	2
106479823	0	0	0	0
106479824	1	2	1	0
106479825	2	0	0	0
106479826	0	0	0	0
106479827	0	0	0	0
106479828	0	0	0	0
106479829	3	1	0	1
106479830	0	0	0	0
106479831	0	0	0	0
106479832	0	0	0	0
106479833	0	0	0	0
106479834	0	0	0	0
106479835	1	10	2	1
106479836	3	2	4	6
106479837	0	0	0	0
106479838	0	0	0	0
106479839	0	0	0	0
106479840	0	0	0	1
106479841	0	0	0	0
106479842	0	0	0	0
106479843	0	0	0	0
106479844	0	0	0	0
106479845	0	0	0	0
106479846	0	0	0	0
106479847	0	0	0	0
106479848	0	0	0	0
106479849	0	0	0	0
106479850	0	0	0	1
106479851	0	0	0	0
106479852	0	0	0	0
106479853	0	0	0	0
106479854	0	0	0	0
106479855	0	0	0	0
106479856	0	0	0	0
106479857	0	0	0	0
106479858	3	8	3	2
106479859	0	0	0	0
106479860	0	0	0	0
106479861	0	0	0	0
106479862	0	0	0	0
106479863	0	0	0	2
106479864	0	0	0	0
106479865	4	3	2	3
106479866	0	0	0	0
106479867	0	0	0	0
106479868	0	0	0	0
106479869	0	0	0	0
106479870	1	1	0	2
106479871	0	0	0	0
106479872	0	0	0	0
106479873	1	3	1	3
106479874	0	0	0	0
106479875	0	0	0	0
106479876	3	2	4	0
106479877	2	0	0	0
106479878	0	0	0	0
106479879	0	0	0	0
106479880	0	0	0	0
106479881	1	0	0	0
106479882	0	0	0	0
106479883	0	0	0	0
106479884	0	0	0	0
106479885	2	0	0	3
106479886	0	0	0	0
106479887	0	3	0	1
106479888	0	0	0	0
106479889	0	0	0	0
106479890	0	0	0	0
106479891	0	0	0	0
106479892	0	0	0	0
106479893	0	0	0	0
106479894	0	0	0	0
106479895	0	1	0	0
106479896	0	0	0	0
106479897	1	2	0	0
106479898	0	0	0	0
106479899	0	0	0	0
106479900	0	0	0	0
106479901	1	1	0	2
106479902	0	1	0	8
106479903	4	11	3	11
106479904	0	0	0	0
106479905	0	0	0	0
106479906	0	0	0	0
106479907	0	0	0	0
106479908	0	0	0	0
106479909	0	0	0	0
106479910	0	0	0	0
106479911	0	0	0	0
106479912	0	0	0	0
106479913	0	0	0	0
106479914	0	0	1	0
106479915	0	0	0	1
106479916	0	0	0	0
106479917	0	0	0	0
106479918	0	0	0	0
106479919	0	0	0	0
106479920	0	0	0	0
106479921	0	0	0	0
106479922	0	0	0	0
106479923	2	0	1	0
106479924	0	0	0	0
106479925	0	0	0	0
106479926	0	0	0	0
106479927	0	0	0	0
106479928	0	0	0	0
106479929	1	2	0	0
106479930	1	0	0	0
106479931	0	0	0	0
106479932	1	0	0	0
106479933	0	0	0	0
106479934	0	0	0	0
106479935	1	4	2	4
106479936	0	0	0	0
106479937	0	0	0	0
106479938	0	0	0	0
106479939	0	0	0	0
106479940	0	0	0	0
106479941	0	0	0	0
106479942	1	1	0	0
106479943	0	2	0	0
106479944	1	0	0	0
106479945	0	0	1	0
106479946	0	0	0	0
106479947	0	0	0	0
106479948	0	0	0	0
106479949	0	0	0	0
106479950	0	0	0	0
106479951	0	0	0	0
106479952	0	0	0	0
106479953	1	0	0	2
106479954	0	0	0	0
106479955	1	0	0	0
106479956	0	0	0	0
106479957	1	0	0	0
106479958	0	0	0	0
106479959	0	0	0	1
106479960	0	0	0	0
106479961	0	0	1	1
106479962	0	0	0	0
106479963	0	0	1	0
106479964	0	0	0	0
106479965	0	0	0	0
106479966	0	0	0	0
106479967	0	0	0	0
106479968	0	0	0	0
106479969	0	0	0	1
106479970	1	0	0	0
106479971	1	0	0	0
106479972	0	0	0	0
106479973	0	0	0	0
106479974	0	0	0	0
106479975	5	13	3	2
106479976	0	0	0	0
106479977	0	0	0	0
106479978	0	0	0	0
106479979	0	0	0	0
106479980	1	1	0	0
106479981	0	0	0	0
106479982	0	0	0	0
106479983	1	4	0	2
106479984	4	6	3	2
106479985	0	0	0	0
106479986	0	0	0	0
106479987	0	0	0	0
106479988	1	0	0	0
106479989	0	0	0	0
106479990	0	0	0	0
106479991	0	0	0	0
106479992	1	1	0	1
106479993	0	0	0	0
106479994	2	0	1	0
106479995	0	0	0	0
106479996	0	0	0	0
106479997	0	0	0	0
106479998	0	0	0	0
106479999	2	0	0	0
10648	0	0	0	0
106480001	0	0	0	0
106480002	0	0	0	0
106480003	0	0	1	1
106480004	0	0	0	0
106480005	0	0	0	0
106480006	0	0	0	0
106480007	0	0	0	0
106480008	0	0	0	0
106480009	0	0	0	0
106480010	0	0	0	0
106480011	3	4	8	6
106480012	0	0	0	0
106480013	0	0	0	0
106480014	0	0	0	0
106480015	0	0	0	0
106480016	0	0	0	0
106480017	0	0	0	1
106480018	1	0	0	1
106480019	0	0	0	0
106480020	0	0	0	0
106480021	0	3	0	0
106480022	0	0	0	0
106480023	0	0	0	0
106480024	0	0	0	0
106480025	0	0	0	0
106480026	0	0	1	0
106480027	15	11	2	12
106480028	0	0	0	0
106480029	0	0	1	0
106480030	0	0	0	0
106480031	0	0	0	0
106480032	0	0	0	0
106480033	3	2	0	0
106480034	4	14	3	2
106480035	0	0	0	0
106480036	1	0	0	0
106480037	0	0	0	0
106480038	0	0	0	0
106480039	0	1	0	0
106480040	0	1	0	0
106480041	1	0	0	0
106480042	0	0	0	0
106480043	1	1	1	0
106480044	0	0	0	0
106480045	0	0	0	0
106480046	0	0	0	0
106480047	0	0	0	0
106480048	0	0	0	0
106480049	0	0	0	0
106480050	0	0	0	0
106480051	0	0	0	0
106480052	0	0	1	0
106480053	0	0	0	0
106480054	0	0	0	0
106480055	0	0	0	0
106480056	0	0	0	0
106480057	0	0	0	0
106480058	0	0	0	0
106480059	0	0	0	0
106480060	0	0	0	0
106480061	0	0	0	0
106480062	1	0	0	0
106480063	0	0	0	0
106480064	0	0	0	0
106480065	0	0	0	0
106480066	7	6	1	12
106480067	0	0	0	0
106480068	0	0	0	0
106480069	0	0	0	0
106480070	0	1	0	0
106480071	0	0	0	0
106480072	0	0	0	1
106480073	1	0	0	1
106480074	1	0	0	2
106480075	0	0	0	0
106480076	0	0	0	0
106480077	3	2	4	4
106480078	0	0	0	0
106480079	2	0	2	3
106480080	0	0	0	0
106480081	3	0	0	0
106480082	0	0	0	0
106480083	0	0	0	0
106480084	0	0	0	0
106480085	0	0	0	0
106480086	0	0	0	0
106480087	0	0	0	0
106480088	0	0	0	0
106480089	0	0	0	0
106480090	0	0	0	1
106480091	0	0	0	0
106480092	1	1	0	0
106480093	0	0	0	0
106480094	0	0	0	0
106480095	0	0	2	1
106480096	0	0	0	0
106480097	1	0	0	2
106480098	0	0	0	0
106480099	0	0	0	0
106480100	0	0	0	0
106480101	0	0	0	0
106480102	0	0	0	0
106480103	0	0	0	0
106480104	2	0	1	0
106480105	0	0	0	0
106480106	0	0	0	0
106480107	2	1	0	7
106480108	0	1	0	0
106480109	0	0	0	0
106480110	0	0	0	0
106480111	0	0	0	0
106480112	0	0	0	0
106480113	0	0	0	0
106480114	0	0	0	0
106480115	0	0	0	0
106480116	0	0	0	0
106480117	0	0	0	0
106480118	1	2	1	1
106480119	0	0	0	0
106480120	0	0	0	0
106480121	5	0	0	0
106480122	0	0	0	0
106480123	0	0	0	0
106480124	0	2	2	0
106480125	1	0	1	1
106480126	0	0	0	1
106480127	0	0	0	0
106480128	0	0	0	0
106480129	0	0	0	0
106480130	0	0	0	0
106480131	0	0	0	0
106480132	0	0	0	0
106480133	0	0	0	0
106480134	0	0	0	0
106480135	0	0	0	0
106480136	0	0	0	1
106480137	0	0	0	0
106480138	0	0	0	0
106480139	0	0	0	0
106480140	0	66	0	1
106480141	1	0	0	0
106480142	0	0	0	0
106480143	0	0	1	0
106480144	0	0	0	0
106480145	0	0	0	0
106480146	0	0	0	0
106480147	0	0	0	0
106480148	0	0	0	0
106480149	0	0	0	0
106480150	0	0	0	0
106480151	0	2	0	0
106480152	0	0	0	0
106480153	17	7	4	9
106480154	0	0	0	0
106480155	0	0	0	0
106480156	0	0	0	0
106480157	0	0	0	4
106480158	0	0	0	0
106480159	0	0	0	0
106480160	0	0	0	0
106480161	0	0	0	0
106480162	0	0	0	0
106480163	0	0	0	1
106480164	0	0	0	0
106480165	2	1	0	4
106480166	0	0	0	0
106480167	0	0	0	0
106480168	0	0	0	0
106480169	2	17	2	9
106480171	0	0	0	0
106480172	0	0	0	0
106480173	0	0	0	0
106480174	0	0	0	0
106480175	0	0	0	0
106480176	0	0	0	0
106480177	0	2	0	1
106480178	0	1	0	0
106480179	1	0	0	2
106480180	0	0	0	0
106480181	0	0	0	0
106480182	0	0	0	0
106480183	1	0	1	2
106480184	0	0	0	0
106480185	0	0	0	0
106480186	0	0	0	0
106480187	0	0	0	0
106480188	0	0	0	0
106480189	0	0	0	0
106480190	0	0	0	0
106480191	0	0	0	0
106480192	0	0	0	0
106480193	0	0	0	0
106480194	1	2	0	6
106480195	0	0	0	1
106480196	0	0	0	0
106480197	0	0	0	0
106480198	0	0	0	0
106480199	0	3	1	0
106480200	0	0	0	0
106480201	0	0	0	0
106480202	0	0	0	0
106480203	0	0	0	0
106480204	0	1	0	1
106480205	1	0	0	2
106480206	0	0	0	0
106480207	0	0	0	0
106480208	0	0	0	1
106480209	0	0	0	0
106480210	0	0	0	0
106480211	0	2	2	2
106480212	0	1	0	1
106480213	0	0	1	1
106480214	0	0	0	0
106480215	0	0	0	0
106480216	0	0	0	0
106480217	0	0	0	0
106480218	1	0	0	0
106480219	0	0	0	0
106480220	0	0	0	0
106480221	0	0	0	0
106480222	0	0	0	0
106480223	0	0	0	0
106480224	0	0	0	0
106480225	1	2	0	2
106480226	0	0	0	0
106480227	0	0	0	0
106480228	0	0	0	0
106480229	0	0	0	0
106480230	0	0	1	1
106480231	0	0	0	0
106480232	0	0	0	0
106480233	0	0	0	0
106480234	0	0	0	0
106480235	3	0	0	1
106480236	0	0	0	0
106480237	0	0	0	0
106480238	0	0	0	0
106480239	0	0	0	0
106480240	1	1	0	0
106480241	0	0	0	0
106480242	0	0	0	0
106480243	0	0	0	0
106480244	0	0	0	0
106480245	0	0	0	0
106480246	0	0	0	0
106480247	0	0	0	0
106480248	0	0	0	0
106480249	0	1	0	0
106480250	0	0	0	0
106480251	0	0	0	0
106480252	0	0	0	0
106480253	0	0	0	0
106480254	3	8	2	8
106480255	0	1	0	0
106480256	0	1	0	0
106480257	1	1	1	1
106480258	0	0	0	0
106480259	0	1	0	0
106480260	0	0	0	0
106480261	0	1	0	2
106480262	0	0	0	0
106480263	0	1	0	1
106480264	0	0	0	0
106480265	0	0	0	0
106480266	0	0	0	0
106480267	2	0	0	0
106480268	0	0	0	0
106480269	0	0	0	0
106480270	0	0	0	0
106480271	0	0	0	0
106480272	0	0	0	0
106480273	0	0	0	0
106480274	1	0	0	0
106480275	0	0	0	0
106480276	0	0	0	0
106480277	7	25	3	9
106480278	0	0	0	0
106480279	0	0	0	0
106480280	1	0	0	0
106480281	0	0	0	0
106480282	0	0	0	0
106480283	0	0	0	0
106480284	0	0	0	0
106480285	0	0	0	0
106480286	14	80	22	69
106480287	2	3	0	0
106480288	0	0	0	0
106480289	0	0	0	0
106480290	0	1	0	0
106480291	5	1	2	2
106480292	0	2	0	0
106480293	0	0	0	0
106480294	0	0	1	0
106480295	0	0	0	0
106480296	0	0	0	0
106480297	3	0	0	1
106480298	0	0	0	0
106480299	0	0	0	0
106480300	0	0	1	0
106480301	0	0	0	0
106480302	0	0	0	3
106480303	1	1	0	2
106480304	0	0	0	0
106480305	0	0	0	0
106480306	0	0	0	1
106480307	1	0	0	0
106480308	0	0	0	0
106480309	0	0	0	0
106480310	2	0	2	2
106480311	1	0	0	0
106480312	2	4	2	3
106480313	0	0	0	0
106480314	0	0	0	0
106480315	0	0	0	0
106480316	0	0	0	0
106480317	0	0	0	0
106480318	0	0	0	1
106480319	0	0	0	0
106480320	0	0	0	0
106480321	0	0	0	0
106480322	13	8	4	17
106480323	8	0	1	2
106480324	0	0	0	0
106480325	0	0	0	0
106480326	0	0	0	0
106480327	0	0	0	0
106480328	3	21	6	3
106480329	0	0	0	0
106480330	0	0	0	0
106480331	0	0	0	0
106480332	0	0	1	0
106480333	0	0	1	0
106480334	0	0	0	0
106480335	1	0	1	0
106480336	0	0	0	0
