GENE	104307-001-001R	104307-001-072	104307-001-040	104307-001-081	104307-001-033	104307-001-049	104307-001-089	104307-001-009	104307-001-065	104307-001-017	104307-001-025	104307-001-057
ENSG00000150991.14	15195	11872	18252	6476	12392	9098	4797	21437	8636	10276	13428	11910
ENSG00000150995.19	404	427	474	172	512	521	105	659	320	357	495	224
ENSG00000151005.4	0	0	0	0	0	3	0	14	0	0	3	0
ENSG00000151006.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000151012.13	47	329	152	8	19	21	47	219	11	20	586	37
ENSG00000151014.5	345	262	593	97	305	465	40	286	435	588	589	397
ENSG00000151023.16	44	172	16	37	5	172	57	19	32	44	21	53
ENSG00000151025.10	29	12	0	12	0	67	2	2	2	3	1	15
ENSG00000151033.9	5	0	0	1	0	7	0	0	0	0	0	0
ENSG00000151062.14	81	4	20	33	29	21	34	89	13	67	63	10
ENSG00000151065.13	261	78	49	178	184	57	103	150	145	284	124	8
ENSG00000151067.21	512	352	751	274	670	68	66	1182	319	593	1239	50
ENSG00000151079.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000151090.18	915	372	718	937	668	749	946	503	998	874	357	671
ENSG00000151092.16	579	843	522	511	572	512	464	465	605	587	412	316
ENSG00000151093.7	187	172	176	211	145	71	232	114	194	214	136	65
ENSG00000151116.16	326	381	187	298	327	253	288	383	225	304	346	149
ENSG00000151117.8	86	22	24	55	44	6	36	42	41	62	65	1
ENSG00000151131.10	101	91	62	47	31	83	123	22	109	103	97	81
ENSG00000151135.9	321	559	974	500	946	531	459	605	841	741	685	402
ENSG00000151136.14	188	53	116	16	234	19	3	258	114	108	171	9
ENSG00000151148.13	632	383	285	526	472	195	279	395	434	642	394	163
ENSG00000151150.21	969	391	1434	674	2369	138	127	1391	1379	814	658	110
ENSG00000151151.5	210	333	704	116	320	409	65	690	195	216	499	264
ENSG00000151164.18	0	0	0	4	2	7	7	0	5	3	8	0
ENSG00000151176.7	846	618	959	864	773	581	668	1105	730	1095	1047	407
ENSG00000151208.16	437	279	385	388	564	144	197	526	297	370	385	115
ENSG00000151224.12	22257	7005	19121	46911	15925	27194	24936	10058	20893	25103	6434	18426
ENSG00000151229.12	437	180	295	244	400	152	228	270	224	227	283	125
ENSG00000151233.10	265	338	376	199	443	190	236	172	298	376	286	138
ENSG00000151239.13	360	957	813	464	668	482	539	674	547	576	904	556
ENSG00000151240.16	605	361	922	740	656	308	274	1013	415	606	975	144
ENSG00000151247.12	219	618	1000	253	382	694	387	867	493	385	1180	639
ENSG00000151276.23	1726	1002	1691	2546	1768	1074	1488	2476	1376	2377	2175	830
ENSG00000151287.16	177	151	148	145	141	122	298	62	182	217	140	129
ENSG00000151292.17	251	341	473	214	544	258	197	389	291	388	482	244
ENSG00000151303.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000151304.5	150	612	433	159	186	242	243	285	214	272	537	164
ENSG00000151320.10	225	29	114	199	193	107	31	143	134	226	87	28
ENSG00000151322.18	182	20	55	43	43	57	16	121	64	112	113	18
ENSG00000151327.12	1165	1687	808	577	605	1307	767	1107	905	892	1066	1074
ENSG00000151332.18	138	180	256	190	208	344	183	350	207	289	212	492
ENSG00000151338.18	306	128	92	212	191	104	152	167	90	169	117	45
ENSG00000151348.13	536	645	622	520	725	399	550	824	524	697	920	356
ENSG00000151353.14	204	244	183	161	208	121	252	325	203	213	233	91
ENSG00000151360.9	62	0	53	134	58	15	83	188	69	16	109	0
ENSG00000151364.16	64	43	74	91	44	97	85	8	49	53	67	22
ENSG00000151365.2	179	272	1002	713	815	1460	2564	36	1406	1445	825	939
ENSG00000151366.12	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000151376.16	492	99	223	185	222	81	211	626	179	274	408	86
ENSG00000151379.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000151388.10	316	183	97	127	203	50	40	240	181	131	211	12
ENSG00000151413.16	414	128	159	275	244	149	88	353	279	377	181	140
ENSG00000151414.14	681	445	678	469	744	252	266	737	529	781	602	250
ENSG00000151418.11	0	0	0	0	0	4	0	6	0	0	0	0
ENSG00000151422.12	566	175	384	259	490	248	188	738	266	459	617	132
ENSG00000151445.15	202	163	154	289	188	43	121	215	178	285	86	40
ENSG00000151458.11	160	171	461	229	471	88	200	411	346	430	689	165
ENSG00000151461.19	1921	792	951	969	926	924	1505	1148	819	1110	1384	1029
ENSG00000151465.13	439	636	504	437	523	449	489	884	361	488	963	356
ENSG00000151466.11	942	179	276	460	371	101	287	532	280	371	285	40
ENSG00000151468.10	780	454	1046	415	1725	162	106	1703	1101	552	1344	97
ENSG00000151470.12	38	49	279	61	253	52	29	68	118	130	55	28
ENSG00000151474.22	1231	544	642	762	1023	314	382	983	794	1045	930	155
ENSG00000151475.5	0	0	0	0	0	3	0	0	0	0	5	2
ENSG00000151490.13	11	13	4	21	18	7	12	15	28	23	0	0
ENSG00000151491.13	1148	1069	1830	868	1273	491	485	1768	1138	1179	1392	553
ENSG00000151498.11	542	259	377	611	436	264	591	430	440	630	537	209
ENSG00000151500.14	324	106	247	474	345	128	292	241	371	369	181	91
ENSG00000151502.10	590	460	602	755	498	371	675	621	621	724	673	350
ENSG00000151503.12	340	155	230	330	286	164	310	149	232	216	234	125
ENSG00000151532.13	720	424	335	453	306	277	366	471	285	386	586	222
ENSG00000151552.11	2460	889	3017	2141	2198	1861	1782	1561	1871	3142	1110	1294
ENSG00000151553.14	326	385	401	283	391	225	163	471	406	509	319	97
ENSG00000151572.17	49	0	10	32	5	49	0	85	14	16	11	8
ENSG00000151575.14	68	63	79	78	79	48	17	84	52	79	95	16
ENSG00000151576.10	217	611	434	94	187	167	201	360	194	158	534	110
ENSG00000151577.12	4	0	3	0	12	3	0	16	0	2	1	0
ENSG00000151611.14	375	405	367	250	256	273	253	166	403	340	194	117
ENSG00000151612.15	133	37	112	81	197	11	25	236	128	154	84	3
ENSG00000151615.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000151617.16	58	167	354	47	342	36	50	230	171	106	461	31
ENSG00000151623.14	410	64	287	665	421	114	347	337	335	443	143	75
ENSG00000151631.8	267	38	34	237	121	264	182	117	236	195	75	298
ENSG00000151632.17	3060	3818	2016	2249	1257	8396	5361	3525	1909	2220	2165	14026
ENSG00000151640.12	8	10	16	0	16	6	15	5	3	3	21	9
ENSG00000151650.7	89	5	17	19	5	1	18	35	19	24	39	3
ENSG00000151651.15	378	405	297	172	262	141	182	602	228	200	609	75
ENSG00000151655.18	5785	14934	23537	8295	19871	14571	6251	4220	24484	22408	9504	14004
ENSG00000151657.11	447	150	165	92	132	126	76	145	166	236	245	88
ENSG00000151665.12	146	151	80	162	126	30	131	100	142	280	81	46
ENSG00000151687.14	364	65	47	120	132	34	82	122	106	241	50	29
ENSG00000151689.12	807	702	1094	261	530	974	555	906	703	746	892	1200
ENSG00000151690.14	125	90	302	149	395	22	62	352	192	202	220	45
ENSG00000151692.14	117	47	57	55	85	32	10	114	64	104	138	16
ENSG00000151693.10	339	115	384	257	478	91	92	539	138	397	467	66
ENSG00000151694.13	564	550	405	280	456	383	261	546	298	379	763	381
ENSG00000151702.16	666	421	624	235	662	218	208	736	497	604	1481	115
ENSG00000151704.15	8	0	5	0	0	0	0	0	2	0	0	0
ENSG00000151715.7	1470	1423	866	168	855	549	230	1088	1109	1267	696	586
ENSG00000151718.15	658	674	1384	979	944	560	590	784	673	899	1071	655
ENSG00000151725.11	18	2	16	41	10	47	0	89	32	30	33	17
ENSG00000151726.13	6520	8652	14215	9503	11111	10450	10275	4946	12305	11725	4557	9930
ENSG00000151729.10	416	539	744	728	848	553	832	688	591	538	633	475
ENSG00000151743.10	98	42	41	34	94	40	52	49	67	67	74	18
ENSG00000151746.13	498	218	268	100	179	120	121	580	182	278	493	46
ENSG00000151748.14	294	610	712	205	461	352	382	752	418	465	1117	277
ENSG00000151773.12	259	78	36	74	131	18	37	101	118	102	9	7
ENSG00000151778.10	87	56	26	71	22	14	36	46	67	99	19	7
ENSG00000151779.12	532	347	346	429	583	316	282	479	410	558	316	182
ENSG00000151789.11	123	93	208	16	128	113	9	494	73	140	777	55
ENSG00000151790.8	4192	742	3053	6460	2667	1643	3573	2392	3563	2268	736	884
ENSG00000151806.13	187	165	199	130	289	131	198	167	202	251	77	113
ENSG00000151812.14	18	0	1	6	0	49	0	10	0	1	0	5
ENSG00000151834.15	11	4	7	4	6	13	0	0	10	6	0	0
ENSG00000151835.15	203	304	458	72	217	54	136	382	157	140	685	34
ENSG00000151838.11	3	0	0	5	0	4	0	0	0	0	0	2
ENSG00000151846.8	0	4	4	1	15	4	0	26	1	1	23	1
ENSG00000151849.14	204	51	102	123	90	10	65	104	65	78	60	29
ENSG00000151876.12	184	30	94	191	131	55	141	100	124	142	37	38
ENSG00000151881.14	181	235	148	82	138	67	186	197	138	167	124	42
ENSG00000151882.11	24	31	130	189	333	7	71	205	158	154	79	9
ENSG00000151883.17	651	615	608	334	760	196	222	609	444	598	744	95
ENSG00000151892.14	261	251	204	568	105	306	662	148	324	227	102	262
ENSG00000151893.14	616	745	813	391	568	455	553	948	424	748	897	493
ENSG00000151914.19	3117	3361	6675	2292	3886	7525	2363	4448	2922	3955	7869	6440
ENSG00000151917.17	22	24	6	3	1	13	0	18	8	13	0	9
ENSG00000151923.17	736	859	1100	648	710	816	756	1085	716	891	1460	688
ENSG00000151929.9	795	1231	3338	374	972	1401	475	3166	916	631	3244	1413
ENSG00000151948.11	415	738	300	639	184	990	599	196	834	767	326	535
ENSG00000151952.15	39	73	32	19	45	40	1	60	26	11	43	12
ENSG00000151962.7	5	0	4	0	3	10	1	13	3	0	0	0
ENSG00000151963.4	0	0	0	3	0	2	10	0	0	3	0	0
ENSG00000151967.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152034.10	0	0	0	0	9	3	0	0	0	2	0	0
ENSG00000152049.6	182	208	1385	21	935	36	29	1237	296	285	1604	9
ENSG00000152056.16	131	195	91	64	88	76	54	150	87	78	216	37
ENSG00000152061.23	2037	424	775	1194	1012	590	522	1368	771	1074	938	306
ENSG00000152076.18	11	0	14	1	8	3	1	25	2	2	1	0
ENSG00000152078.9	0	12	21	0	8	3	0	0	10	6	0	0
ENSG00000152082.13	1210	623	508	1017	658	765	1189	787	715	925	630	757
ENSG00000152086.8	8	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152092.15	21	14	11	13	59	24	19	2	13	35	38	9
ENSG00000152093.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152102.17	714	1336	1323	812	863	1049	1108	1341	918	820	1941	1014
ENSG00000152104.11	115	82	227	79	243	40	9	74	77	147	216	24
ENSG00000152117.17	522	340	206	408	132	155	292	643	265	588	395	90
ENSG00000152127.8	479	590	676	413	439	438	384	1242	480	404	1144	286
ENSG00000152128.13	284	121	67	58	41	39	18	188	21	60	109	23
ENSG00000152133.14	313	172	171	130	112	130	206	218	132	126	274	104
ENSG00000152137.6	256	104	904	72	488	56	43	1362	302	263	291	43
ENSG00000152147.10	135	106	84	69	105	69	178	45	83	125	57	43
ENSG00000152154.10	184	14	34	75	104	62	82	214	47	144	22	13
ENSG00000152192.7	26	0	38	0	62	0	0	0	14	27	3	0
ENSG00000152193.7	119	145	142	123	124	64	94	123	125	130	150	55
ENSG00000152207.7	18	10	20	16	84	25	2	36	19	13	66	5
ENSG00000152208.12	54	0	0	39	10	68	0	4	8	19	25	28
ENSG00000152213.3	42	3	2	23	15	3	2	37	17	10	0	0
ENSG00000152214.13	3	6	0	0	0	27	0	0	4	4	0	3
ENSG00000152217.18	715	359	803	953	719	441	431	997	719	719	418	230
ENSG00000152219.4	193	263	138	200	372	55	312	131	252	249	103	42
ENSG00000152223.13	432	183	301	297	370	158	180	542	298	516	550	142
ENSG00000152229.18	630	181	216	387	188	179	232	680	130	456	208	127
ENSG00000152234.15	3079	4062	5076	4118	4830	3966	4166	4044	5462	5382	4147	3463
ENSG00000152240.12	77	72	59	54	172	24	99	158	62	107	69	22
ENSG00000152242.10	221	338	379	181	284	189	189	461	257	371	394	122
ENSG00000152253.8	6	2	3	19	0	32	0	0	12	5	0	9
ENSG00000152254.10	5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152256.13	166	162	361	173	328	80	110	258	161	285	178	62
ENSG00000152266.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152270.8	4136	352	1393	1488	1339	521	613	2006	1269	1834	620	306
ENSG00000152284.4	321	219	412	438	346	239	295	584	359	663	564	151
ENSG00000152291.13	4324	3699	5176	2784	4699	3049	2733	4439	4306	4998	4526	2631
ENSG00000152292.16	15	0	16	43	18	11	9	27	9	8	11	0
ENSG00000152315.4	79	26	36	10	36	44	17	24	24	6	73	32
ENSG00000152332.15	823	1061	701	675	883	652	798	508	924	986	947	406
ENSG00000152348.15	403	87	83	215	190	93	87	292	169	298	38	29
ENSG00000152359.14	205	74	52	113	79	27	71	146	57	109	137	10
ENSG00000152377.13	65	4	20	25	11	69	1	125	7	31	40	17
ENSG00000152380.9	43	21	49	30	20	105	54	58	31	38	94	76
ENSG00000152382.5	177	142	266	266	220	67	270	68	211	285	56	93
ENSG00000152402.10	179	18	181	50	427	37	13	252	157	154	204	9
ENSG00000152404.15	1157	347	268	597	589	281	527	602	565	652	426	178
ENSG00000152409.8	512	159	405	199	474	68	452	433	259	358	345	68
ENSG00000152413.14	152	60	241	56	205	129	23	237	115	125	251	70
ENSG00000152422.15	249	43	62	95	86	84	25	155	95	132	59	32
ENSG00000152430.17	5	0	0	0	0	12	0	0	0	3	0	0
ENSG00000152433.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152439.12	29	155	31	33	75	19	99	37	49	79	90	12
ENSG00000152443.12	99	81	163	89	100	74	102	147	137	192	119	41
ENSG00000152454.3	18	59	75	9	27	7	22	60	33	49	34	0
ENSG00000152455.15	31	62	127	29	58	82	49	76	46	55	155	63
ENSG00000152457.17	195	209	115	161	160	49	88	162	150	134	135	34
ENSG00000152463.14	35	0	2	6	6	13	0	0	5	13	0	1
ENSG00000152464.14	162	288	82	130	60	146	170	139	142	178	164	84
ENSG00000152465.17	1287	344	635	1225	760	540	1120	697	496	703	399	352
ENSG00000152467.9	0	0	1	20	12	1	3	0	2	1	0	0
ENSG00000152475.6	37	24	24	55	27	24	29	23	48	75	3	19
ENSG00000152484.13	464	1501	1787	321	846	2446	576	1473	1021	900	1694	2605
ENSG00000152492.14	1428	3207	3196	1011	1842	2915	1384	2339	1453	1662	4022	3236
ENSG00000152495.10	183	28	152	41	199	28	6	203	130	113	117	0
ENSG00000152503.9	13	3	28	3	0	22	0	30	10	6	32	10
ENSG00000152518.7	1684	1311	3533	1539	4230	2652	822	2925	2615	2358	3220	2290
ENSG00000152520.13	884	439	762	575	670	281	344	1188	482	1024	840	233
ENSG00000152527.13	172	85	183	106	334	29	33	357	159	221	331	48
ENSG00000152556.16	229	226	247	151	462	79	108	368	223	331	390	56
ENSG00000152558.14	5810	4397	9762	1850	7751	3134	3894	4594	4721	7204	4618	3170
ENSG00000152578.12	0	0	0	4	0	6	0	7	3	2	14	10
ENSG00000152580.8	8	10	66	35	183	5	7	12	133	25	3	1
ENSG00000152582.13	102	7	68	79	210	19	18	136	55	112	21	5
ENSG00000152583.12	1948	878	2309	2023	3319	34	211	4148	1031	1463	4143	160
ENSG00000152591.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152592.13	0	0	2	3	0	1	0	0	0	1	0	0
ENSG00000152595.16	8	0	0	0	0	0	2	0	0	0	0	2
ENSG00000152601.17	1628	1416	2738	1410	2210	1349	1272	2532	1623	1689	3523	1310
ENSG00000152611.11	6	0	0	0	0	8	0	0	0	0	0	0
ENSG00000152620.12	1810	930	2509	3022	2289	2143	1695	1011	2627	3664	1303	1586
ENSG00000152642.10	138	137	163	77	213	10	31	149	85	103	111	23
ENSG00000152661.8	250	434	1803	54	1236	94	52	2310	454	687	2613	58
ENSG00000152669.8	13	0	14	8	0	0	0	25	5	16	7	0
ENSG00000152670.18	37	0	0	6	0	41	0	0	0	0	1	2
ENSG00000152672.7	19	0	4	0	6	1	0	19	32	16	0	0
ENSG00000152683.14	233	241	232	179	291	105	148	305	252	230	350	65
ENSG00000152684.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152689.17	630	282	333	118	312	159	86	586	170	291	997	110
ENSG00000152700.13	1119	1453	1622	1397	1409	1432	1864	1065	1612	1587	1168	1188
ENSG00000152705.7	21	2	4	0	23	3	5	0	5	11	0	0
ENSG00000152749.7	186	330	219	92	255	164	119	55	149	148	139	147
ENSG00000152760.9	80	19	67	37	57	49	6	22	125	168	90	61
ENSG00000152763.16	118	29	30	53	37	26	22	35	46	69	20	22
ENSG00000152766.5	7	37	34	3	35	1	8	180	14	10	62	0
ENSG00000152767.16	1885	1594	1948	2745	2104	1647	2021	2090	1679	2483	2355	895
ENSG00000152778.8	137	768	297	114	144	83	265	236	208	292	368	25
ENSG00000152779.13	24	12	8	12	0	24	2	6	19	16	11	7
ENSG00000152782.16	207	119	778	618	509	299	303	173	848	675	183	151
ENSG00000152784.15	7	17	15	4	16	0	7	38	15	7	58	0
ENSG00000152785.6	0	0	0	0	7	4	0	0	0	4	0	0
ENSG00000152795.17	1426	2452	4966	1304	2716	2029	1896	6291	2202	2500	5767	2057
ENSG00000152804.10	383	1275	892	609	532	1302	573	545	637	738	753	1501
ENSG00000152818.18	1165	679	2206	824	2633	751	526	1738	1097	1214	1457	495
ENSG00000152822.13	48	0	0	1	0	36	0	4	3	0	0	18
ENSG00000152894.14	1270	899	2329	1491	1894	861	1099	1759	1213	1850	2354	1094
ENSG00000152904.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152910.18	10	0	0	4	0	16	0	2	1	1	0	0
ENSG00000152926.14	375	129	90	134	236	27	54	282	87	183	163	12
ENSG00000152931.7	0	0	0	0	0	4	0	0	1	0	0	6
ENSG00000152932.7	183	0	1	11	14	23	0	148	15	47	16	4
ENSG00000152936.10	39	0	1	0	0	16	0	1	0	4	0	4
ENSG00000152939.15	341	352	274	254	335	133	442	111	454	407	167	87
ENSG00000152942.18	224	248	177	218	166	113	169	74	271	276	149	73
ENSG00000152944.8	90	215	265	107	317	100	113	180	204	207	297	84
ENSG00000152952.11	1287	4010	3252	532	1895	3484	683	1659	1468	2226	3874	3240
ENSG00000152953.12	54	14	23	27	62	45	12	44	21	35	91	8
ENSG00000152954.11	0	0	0	0	0	0	0	0	1	5	0	3
ENSG00000152969.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152977.9	174	0	16	236	16	92	96	19	26	51	23	20
ENSG00000152990.13	658	390	745	3991	732	737	1791	876	746	942	697	616
ENSG00000153002.11	2	2	4	5	5	6	5	0	3	3	3	0
ENSG00000153006.15	851	482	428	383	328	368	462	695	425	502	512	276
ENSG00000153012.11	29	37	79	42	83	6	14	121	39	34	54	7
ENSG00000153015.15	790	426	329	420	460	254	421	405	338	411	456	194
ENSG00000153029.14	288	246	145	208	180	103	181	270	218	255	103	93
ENSG00000153037.14	136	194	112	99	80	163	158	126	102	75	315	138
ENSG00000153044.9	28	10	11	26	48	11	0	34	15	36	11	8
ENSG00000153046.17	305	231	387	149	234	212	123	491	148	222	463	284
ENSG00000153048.10	929	1208	1333	1514	986	1670	1702	1478	1240	1429	1540	1511
ENSG00000153060.7	23	0	5	42	14	12	38	30	1	3	6	19
ENSG00000153064.11	44	41	1	28	0	53	5	48	64	74	157	6
ENSG00000153066.12	1609	1321	1405	1116	1039	940	1004	1442	1003	1152	1738	997
ENSG00000153071.14	11	1	0	0	0	2	0	0	0	0	0	1
ENSG00000153086.13	1952	487	1326	2099	1300	931	1331	925	1448	1807	295	628
ENSG00000153093.18	31	20	0	6	7	35	4	0	8	3	6	13
ENSG00000153094.22	221	1561	627	180	687	260	210	818	553	428	747	147
ENSG00000153107.12	262	307	217	284	246	175	158	264	163	230	251	108
ENSG00000153113.23	2524	3172	3795	2104	2833	2149	1991	2526	2032	2206	3761	1946
ENSG00000153130.17	258	399	449	137	461	286	351	382	437	517	506	201
ENSG00000153132.12	352	21	181	119	215	19	436	104	13	14	18	0
ENSG00000153140.8	145	62	51	90	155	42	79	173	116	166	37	14
ENSG00000153147.5	970	1097	2242	520	1523	773	599	2083	1121	1137	2229	967
ENSG00000153157.12	18	0	3	2	24	0	0	4	10	5	0	0
ENSG00000153162.8	143	146	113	50	59	40	23	152	81	73	280	19
ENSG00000153165.18	17	29	18	2	8	13	10	40	14	29	9	20
ENSG00000153179.12	450	795	1017	247	649	387	141	858	478	469	989	417
ENSG00000153187.19	3316	6173	8867	2624	5855	3565	3271	7063	4878	4308	9370	3534
ENSG00000153201.15	949	1432	2527	815	1966	886	1227	2611	1310	1295	3283	812
ENSG00000153207.15	534	821	1770	405	794	555	530	1445	756	679	1648	617
ENSG00000153208.16	436	210	361	460	256	251	258	264	424	392	340	150
ENSG00000153214.10	458	560	419	265	446	282	235	367	281	339	553	228
ENSG00000153230.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153233.12	33	0	3	7	15	12	0	0	2	2	12	6
ENSG00000153234.13	1074	110	1190	605	2112	16	80	2126	931	1262	849	76
ENSG00000153237.17	37	8	35	10	58	44	6	30	40	37	30	2
ENSG00000153246.12	119	40	149	122	341	25	26	67	126	197	124	6
ENSG00000153250.19	1255	1220	1940	714	1685	474	340	2662	988	1330	2401	308
ENSG00000153253.16	20	0	12	11	68	0	1	9	9	5	10	4
ENSG00000153266.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153283.12	634	123	336	115	504	60	93	253	330	393	221	16
ENSG00000153291.15	335	26	208	392	480	91	338	277	405	416	51	20
ENSG00000153292.15	0	1	0	4	3	5	0	0	3	0	0	7
ENSG00000153294.11	0	1	0	0	0	1	0	0	0	0	0	6
ENSG00000153303.17	0	0	4	34	0	3	12	8	2	5	0	0
ENSG00000153310.19	738	625	759	246	526	455	229	1023	506	522	934	346
ENSG00000153317.14	1616	1848	1632	718	933	945	410	2520	667	1107	2681	513
ENSG00000153339.13	533	527	750	683	944	648	476	811	724	709	759	674
ENSG00000153347.9	3	0	0	0	0	0	0	4	0	2	0	0
ENSG00000153363.12	385	89	82	224	131	117	158	124	140	169	44	106
ENSG00000153391.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153395.9	628	562	465	259	413	185	359	1436	392	528	1379	156
ENSG00000153404.14	9	0	17	15	14	9	0	11	5	14	57	0
ENSG00000153406.13	1007	304	395	863	301	387	618	708	505	572	264	276
ENSG00000153443.12	343	364	452	561	368	904	611	617	478	580	685	864
ENSG00000153446.15	22	0	11	24	10	6	0	45	16	10	39	0
ENSG00000153485.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153487.12	248	150	514	292	381	165	206	634	191	224	451	206
ENSG00000153495.10	35	3	14	0	2	8	12	18	9	4	43	11
ENSG00000153498.11	0	0	0	0	0	12	0	0	0	1	0	2
ENSG00000153531.13	13	21	61	5	0	68	30	49	28	39	61	62
ENSG00000153551.13	269	350	434	143	425	79	146	636	220	270	667	56
ENSG00000153558.15	172	23	28	49	120	15	34	35	45	107	66	18
ENSG00000153560.11	466	999	1213	651	845	721	778	1160	835	893	1641	1151
ENSG00000153561.12	328	501	965	511	709	815	529	599	764	795	1021	964
ENSG00000153563.15	63	156	259	16	427	5	32	43	295	201	241	5
ENSG00000153574.8	196	313	161	80	151	114	139	229	116	106	336	166
ENSG00000153684.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153707.16	296	102	473	486	544	296	312	452	336	386	482	127
ENSG00000153714.5	998	281	589	557	801	820	234	709	645	904	711	1402
ENSG00000153721.18	881	256	955	1197	837	383	609	1142	700	1188	847	508
ENSG00000153767.9	102	119	54	25	154	16	40	50	101	86	90	25
ENSG00000153774.8	817	421	397	584	670	346	354	698	461	744	457	266
ENSG00000153779.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153786.12	645	762	759	538	581	386	485	1028	456	713	1013	208
ENSG00000153789.12	6	0	0	0	0	0	0	0	9	0	0	0
ENSG00000153790.11	27	16	64	23	51	12	11	41	16	16	16	25
ENSG00000153802.11	5	0	0	0	0	4	0	0	0	0	0	7
ENSG00000153814.12	298	331	425	406	430	330	345	388	343	442	406	266
ENSG00000153815.16	1124	1214	1500	658	1138	576	510	3074	929	1232	2881	506
ENSG00000153820.12	3	0	0	10	10	9	0	0	0	0	0	1
ENSG00000153822.13	23	22	142	261	355	1	39	229	75	89	166	10
ENSG00000153823.18	624	397	468	1687	424	509	726	408	494	330	573	293
ENSG00000153827.13	1164	2343	2590	1287	1752	1451	1135	2968	1494	1576	3361	1483
ENSG00000153832.11	70	20	63	41	106	53	7	69	28	65	106	4
ENSG00000153879.8	415	3188	822	524	743	1175	2953	587	763	938	1682	1638
ENSG00000153885.14	194	191	131	174	203	174	369	258	136	100	271	75
ENSG00000153896.17	23	5	11	18	35	14	27	8	34	32	3	8
ENSG00000153898.12	43	66	133	7	60	24	1	373	49	52	140	9
ENSG00000153902.13	433	10	76	158	125	52	24	230	100	278	114	35
ENSG00000153904.19	726	1024	1881	1167	1466	1541	1151	747	1834	1403	1003	1211
ENSG00000153914.15	3509	1602	1374	1910	1319	1226	2458	2599	1251	1774	2487	988
ENSG00000153922.10	855	936	2902	603	1754	1489	501	2769	1052	1055	2987	1621
ENSG00000153923.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153930.11	56	0	2	12	9	42	0	0	8	6	1	8
ENSG00000153933.9	158	124	161	100	147	61	96	311	201	208	129	39
ENSG00000153936.16	219	47	55	126	59	68	46	260	53	81	97	11
ENSG00000153944.10	610	423	839	541	808	229	362	1586	528	764	1049	161
ENSG00000153956.15	295	185	202	68	252	87	36	434	210	222	243	13
ENSG00000153975.9	132	136	113	88	159	53	71	88	100	107	160	40
ENSG00000153976.2	51	59	64	18	18	45	18	45	9	49	156	17
ENSG00000153982.10	34	12	15	6	11	4	22	21	6	27	20	7
ENSG00000153989.7	307	1007	1267	364	569	566	482	838	651	525	1346	532
ENSG00000153993.13	21	0	64	14	168	11	0	72	104	84	64	1
ENSG00000154001.13	818	1277	1184	431	946	1440	692	871	691	906	1296	1350
ENSG00000154007.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154016.13	117	89	43	82	82	38	45	99	113	145	202	44
ENSG00000154025.15	12	0	2	0	6	5	1	1	1	0	10	5
ENSG00000154027.18	27	4	3	1	63	24	0	14	17	18	7	1
ENSG00000154040.20	58	15	24	15	3	55	6	25	7	27	42	16
ENSG00000154059.10	122	149	182	152	243	50	111	162	216	242	118	52
ENSG00000154065.16	200	32	150	18	184	25	11	115	85	173	103	4
ENSG00000154079.5	77	26	31	57	85	27	59	47	51	105	54	20
ENSG00000154080.13	335	73	479	237	682	95	69	248	529	922	215	142
ENSG00000154096.13	1329	949	1203	126	1381	56	45	2678	936	1538	2052	52
ENSG00000154099.17	153	34	15	17	26	10	0	79	11	55	16	0
ENSG00000154102.10	130	31	13	12	40	14	21	45	16	58	76	21
ENSG00000154114.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154118.12	0	0	0	0	16	7	0	0	1	0	16	0
ENSG00000154122.13	1194	1203	1222	645	1058	1190	805	953	1408	1414	1148	929
ENSG00000154124.4	314	605	531	221	482	863	521	611	430	461	754	477
ENSG00000154127.9	278	550	605	96	282	234	129	910	250	262	970	158
ENSG00000154133.14	329	363	187	179	225	17	132	379	153	253	891	26
ENSG00000154134.14	130	54	54	59	85	42	40	83	69	117	79	8
ENSG00000154143.2	0	0	0	0	0	0	0	0	0	0	0	0
